soc_code,Task ID,importance_norm,importance,Task
11-3071.01,1042,0.6775,3.71,"Collaborate with other managers or staff members to formulate and implement policies, procedures, goals, or objectives."
11-3071.01,1053,0.655,3.62,"Set operations policies and standards, including determining safety procedures for the handling of dangerous goods."
11-3071.01,1045,0.6325,3.53,"Develop criteria, application instructions, procedural manuals, or contracts for federal or state public transportation programs."
11-3071.01,1056,0.58,3.32,"Conduct employee training sessions on subjects such as hazardous material handling, employee orientation, quality improvement, or computer use."
11-3071.01,1054,0.565,3.26,Recommend or authorize capital expenditures for acquisition of new equipment or property to increase efficiency and services of operations department.
11-3121.00,990,0.9475,4.79,"Serve as a link between management and employees by handling questions, interpreting and administering contracts and helping resolve work-related problems."
11-3121.00,987,0.9175,4.67,"Advise managers on organizational policy matters, such as equal employment opportunity and sexual harassment, and recommend needed changes."
11-3121.00,988,0.9025000000000001,4.61,Analyze and modify compensation and benefits policies to establish competitive programs and ensure compliance with legal requirements.
11-3121.00,986,0.855,4.42,"Perform difficult staffing duties, including dealing with understaffing, refereeing disputes, firing employees, and administering disciplinary procedures."
11-3121.00,998,0.8225,4.29,Represent organization at personnel-related hearings and investigations.
11-3121.00,999,0.8049999999999999,4.22,Negotiate bargaining agreements and help interpret labor contracts.
11-3121.00,983,0.8049999999999999,4.22,"Identify staff vacancies and recruit, interview, and select applicants."
11-3121.00,991,0.8025,4.21,"Plan, direct, supervise, and coordinate work activities of subordinates and staff relating to employment, compensation, labor relations, and employee relations."
11-3121.00,1000,0.7925,4.17,Prepare personnel forecast to project employment needs.
11-3121.00,985,0.7925,4.17,"Provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion, and employee benefits."
11-3121.00,997,0.7749999999999999,4.1,Investigate and report on industrial accidents for insurance carriers.
11-3121.00,982,0.76,4.04,"Administer compensation, benefits, and performance management systems, and safety and recreation programs."
11-3121.00,994,0.76,4.04,Analyze statistical data and reports to identify and determine causes of personnel problems and develop recommendations for improvement of organization's personnel policies and practices.
11-3121.00,995,0.76,4.04,"Plan, organize, direct, control, or coordinate the personnel, training, or labor relations activities of an organization."
11-3121.00,984,0.75,4.0,"Allocate human resources, ensuring appropriate matches between personnel."
11-3121.00,1003,0.75,4.0,"Oversee the evaluation, classification, and rating of occupations and job positions."
11-3121.00,989,0.75,4.0,Plan and conduct new employee orientation to foster positive attitude toward organizational objectives.
11-3121.00,992,0.7075,3.83,"Analyze training needs to design employee development, language training, and health and safety programs."
11-3121.00,1004,0.66,3.64,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends."
11-3121.00,993,0.6425,3.57,"Maintain records and compile statistical reports concerning personnel-related data such as hires, transfers, performance appraisals, and absenteeism rates."
11-3121.00,1001,0.62,3.48,Prepare and follow budgets for personnel operations.
11-3121.00,996,0.5675,3.27,Conduct exit interviews to identify reasons for employee termination.
11-3121.00,1002,0.5625,3.25,"Develop, administer, and evaluate applicant tests."
11-3121.00,1005,0.555,3.22,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards."
11-3121.00,1007,0.42500000000000004,2.7,"Contract with vendors to provide employee services, such as food service, transportation, or relocation service."
11-3131.00,1015,0.815,4.26,Analyze training needs to develop new training programs or modify and improve existing programs.
11-3131.00,1009,0.8075000000000001,4.23,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement."
11-3131.00,1014,0.76,4.04,"Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops."
11-3131.00,1019,0.75,4.0,Prepare training budget for department or organization.
11-3131.00,1012,0.74,3.96,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors."
11-3131.00,1013,0.7225,3.89,"Develop and organize training manuals, multimedia visual aids, and other educational materials."
11-3131.00,1016,0.705,3.82,Review and evaluate training and apprenticeship programs for compliance with government standards.
11-3131.00,1010,0.69,3.76,Develop testing and evaluation procedures.
11-3131.00,1017,0.68,3.72,Train instructors and supervisors in techniques and skills for training and dealing with employees.
11-3131.00,1008,0.655,3.62,Conduct orientation sessions and arrange on-the-job training for new hires.
11-3131.00,1011,0.5825,3.33,Conduct or arrange for ongoing technical training and personal development classes for staff members.
11-3131.00,1018,0.4225,2.69,Coordinate established courses with technical and professional courses provided by community schools and designate training procedures.
11-9041.00,1060,0.7225,3.89,"Confer with management, production, or marketing staff to discuss project specifications or procedures."
11-9041.00,1070,0.7075,3.83,"Present and explain proposals, reports, or findings to clients."
11-9041.00,1071,0.705,3.82,Consult or negotiate with clients to prepare project specifications.
11-9041.00,1063,0.5825,3.33,"Plan or direct the installation, testing, operation, maintenance, or repair of facilities or equipment."
11-9041.00,1074,0.485,2.94,"Direct the engineering of water control, treatment, or distribution projects."
11-9041.00,1073,0.28,2.12,"Administer highway planning, construction, or maintenance."
11-9051.00,1097,0.9375,4.75,Monitor employee and patron activities to ensure liquor regulations are obeyed.
11-9051.00,1085,0.9075,4.63,Keep records required by government agencies regarding sanitation or food subsidies.
11-9051.00,1078,0.8925000000000001,4.57,"Investigate and resolve complaints regarding food quality, service, or accommodations."
11-9051.00,1090,0.885,4.54,"Maintain food and equipment inventories, and keep inventory records."
11-9051.00,1080,0.8775,4.51,"Monitor food preparation methods, portion sizes, and garnishing and presentation of food to ensure that food is prepared and presented in an acceptable manner."
11-9051.00,1081,0.8775,4.51,"Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted."
11-9051.00,1079,0.875,4.5,"Schedule and receive food and beverage deliveries, checking delivery contents to verify product quality and quantity."
11-9051.00,1084,0.8674999999999999,4.47,Coordinate assignments of cooking personnel to ensure economical use of food and timely preparation.
11-9051.00,1083,0.8625,4.45,"Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities."
11-9051.00,1086,0.8525,4.41,Establish standards for personnel performance and customer service.
11-9051.00,1089,0.845,4.38,"Perform some food preparation or service tasks, such as cooking, clearing tables, and serving food and drinks when necessary."
11-9051.00,1098,0.845,4.38,"Greet guests, escort them to their seats, and present them with menus and wine lists."
11-9051.00,1077,0.8425,4.37,Test cooked food by tasting and smelling it to ensure palatability and flavor conformity.
11-9051.00,1082,0.8300000000000001,4.32,Schedule staff hours and assign duties.
11-9051.00,1087,0.825,4.3,"Estimate food, liquor, wine, and other beverage consumption to anticipate amounts to be purchased or requisitioned."
11-9051.00,1096,0.8174999999999999,4.27,"Arrange for equipment maintenance and repairs, and coordinate a variety of services, such as waste removal and pest control."
11-9051.00,1103,0.8025,4.21,"Schedule use of facilities or catering services for events such as banquets or receptions, and negotiate details of arrangements with clients."
11-9051.00,1093,0.7975000000000001,4.19,"Review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items."
11-9051.00,1091,0.7875000000000001,4.15,"Organize and direct worker training programs, resolve personnel problems, hire new staff, and evaluate employee performance in dining and lodging facilities."
11-9051.00,1088,0.7849999999999999,4.14,"Review work procedures and operational problems to determine ways to improve service, performance, or safety."
11-9051.00,1102,0.7725,4.09,Take dining reservations.
11-9051.00,1095,0.7675000000000001,4.07,"Assess staffing needs and recruit staff, using methods such as newspaper advertisements or attendance at job fairs."
11-9051.00,1092,0.7649999999999999,4.06,Order and purchase equipment and supplies.
11-9051.00,1100,0.76,4.04,"Plan menus and food utilization, based on anticipated number of guests, nutritional value, palatability, popularity, and costs."
11-9081.00,1105,0.8825000000000001,4.53,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints."
11-9081.00,1108,0.875,4.5,"Participate in financial activities, such as the setting of room rates, the establishment of budgets, and the allocation of funds to departments."
11-9081.00,1109,0.8700000000000001,4.48,Confer and cooperate with other managers to ensure coordination of hotel activities.
11-9081.00,1104,0.8700000000000001,4.48,Greet and register guests.
11-9081.00,1124,0.8574999999999999,4.43,"Meet with clients to schedule and plan details of conventions, banquets, receptions and other functions."
11-9081.00,1111,0.855,4.42,Manage and maintain temporary or permanent lodging facilities.
11-9081.00,1113,0.8525,4.41,Train staff members.
11-9081.00,1112,0.845,4.38,Observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures.
11-9081.00,1107,0.8400000000000001,4.36,"Coordinate front-office activities of hotels or motels, and resolve problems."
11-9081.00,1116,0.825,4.3,"Inspect guest rooms, public areas, and grounds for cleanliness and appearance."
11-9081.00,1106,0.8075000000000001,4.23,"Assign duties to workers, and schedule shifts."
11-9081.00,1123,0.79,4.16,"Receive and process advance registration payments, mail letters of confirmation, or return checks when registrations cannot be accepted."
11-9081.00,1118,0.7849999999999999,4.14,Interview and hire applicants.
11-9081.00,1119,0.78,4.12,"Purchase supplies, and arrange for outside services, such as deliveries, laundry, maintenance and repair, and trash collection."
11-9081.00,1115,0.7625,4.05,Develop and implement policies and procedures for the operation of a department or establishment.
11-9081.00,1117,0.7549999999999999,4.02,Prepare required paperwork pertaining to departmental functions.
11-9081.00,1114,0.7425,3.97,"Show, rent, or assign accommodations."
11-9081.00,1121,0.74,3.96,Perform marketing and public relations activities.
11-9081.00,1122,0.7325,3.93,Organize and coordinate the work of staff and convention personnel for meetings to be held at a particular facility.
11-9081.00,1125,0.6925,3.77,"Provide assistance to staff members by inspecting rooms, setting tables, or doing laundry."
11-9081.00,1120,0.635,3.54,"Arrange telephone answering services, deliver mail and packages, or answer questions regarding locations for eating and entertainment."
11-9081.00,1126,0.42500000000000004,2.7,Book tickets for guests for local tours and attractions.
11-9111.00,49,0.845,4.38,"Develop and maintain computerized record management systems to store and process data, such as personnel activities and information, and to produce reports."
11-9111.00,46,0.8374999999999999,4.35,"Direct, supervise and evaluate work activities of medical, nursing, technical, clerical, service, maintenance, and other personnel."
11-9111.00,48,0.79,4.16,"Direct or conduct recruitment, hiring, and training of personnel."
11-9111.00,50,0.7875000000000001,4.15,Develop and implement organizational policies and procedures for the facility or medical unit.
11-9111.00,51,0.7749999999999999,4.1,"Conduct and administer fiscal operations, including accounting, planning budgets, authorizing expenditures, establishing rates for services, and coordinating financial reporting."
11-9111.00,55,0.75,4.0,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options."
11-9111.00,58,0.7375,3.95,"Plan, implement, and administer programs and services in a health care or medical facility, including personnel administration, training, and coordination of medical, nursing and physical plant staff."
11-9111.00,57,0.73,3.92,"Prepare activity reports to inform management of the status and implementation plans of programs, services, and quality initiatives."
11-9111.00,52,0.72,3.88,"Establish work schedules and assignments for staff, according to workload, space, and equipment availability."
11-9111.00,53,0.71,3.84,"Maintain communication between governing boards, medical staff, and department heads by attending board meetings and coordinating interdepartmental functioning."
11-9111.00,47,0.7,3.8,Establish objectives and evaluative or operational criteria for units managed.
11-9111.00,54,0.6825,3.73,"Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services."
11-9111.00,61,0.6675,3.67,Review and analyze facility activities and data to aid planning and cash and risk management and to improve service utilization.
11-9111.00,60,0.66,3.64,"Inspect facilities and recommend building or equipment modifications to ensure emergency readiness and compliance to access, safety, and sanitation regulations."
11-9111.00,56,0.625,3.5,"Manage change in integrated health care delivery systems, such as work restructuring, technological innovations, and shifts in the focus of care."
11-9111.00,62,0.575,3.3,"Develop or expand and implement medical programs or health services that promote research, rehabilitation, and community health."
11-9111.00,59,0.5725,3.29,"Consult with medical, business, and community groups to discuss service problems, respond to community needs, enhance public relations, coordinate activities and plans, and promote health programs."
11-9111.00,63,0.5425,3.17,Develop instructional materials and conduct in-service and community-based educational programs.
11-9151.00,1131,0.8425,4.37,Establish and oversee administrative procedures to meet objectives set by boards of directors or senior management.
11-9151.00,1129,0.8400000000000001,4.36,Direct activities of professional and technical staff members and volunteers.
11-9151.00,1130,0.8300000000000001,4.32,Evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively.
11-9151.00,1132,0.8174999999999999,4.27,"Participate in the determination of organizational policies regarding such issues as participant eligibility, program requirements, and program benefits."
11-9151.00,1128,0.8025,4.21,"Prepare and maintain records and reports, such as budgets, personnel records, or training manuals."
11-9151.00,1127,0.7625,4.05,Establish and maintain relationships with other agencies and organizations in community to meet community needs and to ensure that services are not duplicated.
11-9151.00,1135,0.7375,3.95,"Recruit, interview, and hire or sign up volunteers and staff."
11-9151.00,1133,0.7225,3.89,Research and analyze member or community needs to determine program directions and goals.
11-9151.00,1139,0.6825,3.73,"Act as consultants to agency staff and other community programs regarding the interpretation of program-related federal, state, and county regulations and policies."
11-9151.00,1138,0.66,3.64,"Analyze proposed legislation, regulations, or rule changes to determine how agency services could be impacted."
11-9151.00,1137,0.6575,3.63,"Plan and administer budgets for programs, equipment, and support services."
11-9151.00,1134,0.605,3.42,"Speak to community groups to explain and interpret agency purposes, programs, and policies."
11-9151.00,1136,0.595,3.38,Represent organizations in relations with governmental and media institutions.
11-9151.00,1141,0.5925,3.37,Direct fundraising activities and the preparation of public relations materials.
13-1022.00,72,0.7949999999999999,4.18,Consult with store or merchandise managers about budgets or goods to be purchased.
13-1022.00,77,0.7825,4.13,"Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number."
13-1022.00,68,0.7325,3.93,Authorize payment of invoices or return of merchandise.
13-1022.00,66,0.7175,3.87,"Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed."
13-1022.00,76,0.68,3.72,Train or supervise sales or clerical staff.
13-1022.00,78,0.5875,3.35,"Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run."
13-1022.00,79,0.5875,3.35,Monitor competitors' sales activities by following their advertisements in newspapers or other media.
13-1023.00,1146,0.8875,4.55,Monitor and follow applicable laws and regulations.
13-1023.00,1143,0.8875,4.55,"Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services."
13-1023.00,1147,0.8799999999999999,4.52,"Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives."
13-1023.00,1142,0.8799999999999999,4.52,Purchase the highest quality merchandise at the lowest possible price and in correct amounts.
13-1023.00,1145,0.8374999999999999,4.35,"Analyze price proposals, financial reports, and other data and information to determine reasonable prices."
13-1023.00,1159,0.7625,4.05,Formulate policies and procedures for bid proposals and procurement of goods and services.
13-1023.00,1156,0.75,4.0,"Hire, train, or supervise purchasing clerks, buyers, and expediters."
13-1023.00,1151,0.75,4.0,"Maintain and review computerized or manual records of purchased items, costs, deliveries, product performance, and inventories."
13-1023.00,1144,0.75,4.0,"Research and evaluate suppliers, based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history."
13-1023.00,1149,0.75,4.0,"Confer with staff, users, and vendors to discuss defective or unacceptable goods or services and determine corrective action."
13-1023.00,1150,0.715,3.86,Evaluate and monitor contract performance to ensure compliance with contractual obligations and to determine need for changes.
13-1023.00,1148,0.6925,3.77,"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods."
13-1023.00,1153,0.67,3.68,Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.
13-1023.00,1157,0.63,3.52,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased."
13-1023.00,1152,0.5875,3.35,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services."
13-1023.00,1158,0.555,3.22,"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets."
13-1023.00,1154,0.555,3.22,"Interview vendors and visit suppliers' plants and distribution centers to examine and learn about products, services, and prices."
13-1023.00,1155,0.5375,3.15,Arrange the payment of duty and freight charges.
13-1023.00,1160,0.5,3.0,"Attend meetings, trade shows, conferences, conventions, and seminars to network with people in other purchasing departments."
13-1031.02,1163,0.9475,4.79,Examine claims forms and other records to determine insurance coverage.
13-1031.02,1164,0.94,4.76,Analyze information gathered by investigation and report findings and recommendations.
13-1031.02,1168,0.905,4.62,Interview or correspond with agents and claimants to correct errors or omissions and to investigate questionable claims.
13-1031.02,1165,0.8474999999999999,4.39,Negotiate claim settlements and recommend litigation when settlement cannot be negotiated.
13-1031.02,1166,0.8274999999999999,4.31,Prepare report of findings of investigation.
13-1031.02,1169,0.8225,4.29,Refer questionable claims to investigator or claims adjuster for investigation or settlement.
13-1031.02,1167,0.815,4.26,Collect evidence to support contested claims in court.
13-1031.02,1170,0.675,3.7,Examine titles to property to determine validity and act as company agent in transactions with property owners.
13-1031.02,1172,0.67,3.68,Communicate with former associates to verify employment record and to obtain background information regarding persons or businesses applying for credit.
13-1031.02,1171,0.485,2.94,Obtain credit information from banks and other credit services.
13-1051.00,82,0.8525,4.41,"Consult with clients, vendors, personnel in other departments, or construction foremen to discuss and formulate estimates and resolve issues."
13-1051.00,84,0.8325,4.33,"Prepare estimates used by management for purposes such as planning, organizing, and scheduling work."
13-1051.00,80,0.8325,4.33,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates."
13-1051.00,83,0.7949999999999999,4.18,"Confer with engineers, architects, owners, contractors, and subcontractors on changes and adjustments to cost estimates."
13-1051.00,81,0.7275,3.91,"Assess cost effectiveness of products, projects or services, tracking actual costs relative to bids as the project develops."
13-1051.00,85,0.7025,3.81,Prepare estimates for use in selecting vendors or subcontractors.
13-1051.00,87,0.6975,3.79,Prepare cost and expenditure statements and other necessary documentation at regular intervals for the duration of the project.
13-1051.00,89,0.685,3.74,Set up cost monitoring and reporting systems and procedures.
13-1051.00,90,0.6475,3.59,"Establish and maintain tendering process, and conduct negotiations."
13-1051.00,88,0.645,3.58,"Prepare and maintain a directory of suppliers, contractors and subcontractors."
13-1051.00,86,0.6,3.4,Review material and labor requirements to decide whether it is more cost-effective to produce or purchase components.
