jobtitle_norm,soc_candidates,match_type,match_score
accounting clerk counter sales,"['13-2081.00', '43-3021.02', '43-3031.00', '43-3051.00']",fuzzy,100.0
accounting manager,"['11-3031.02', '13-2011.01', '43-1011.00', '43-4041.01']",exact,100.0
accounts,['41-4012.00'],fuzzy,100.0
accounts manager,"['11-3031.02', '41-3011.00', '43-3021.02']",exact,100.0
accounts payable specialist,"['11-3031.02', '43-3031.00']",exact,100.0
accounts receivable,"['43-3021.02', '43-3031.00']",fuzzy,100.0
accounts supervisor,['11-3031.02'],exact,100.0
acquisitions agent,['43-4121.00'],fuzzy,100.0
actor,"['27-2011.00', '41-9012.00']",exact,100.0
actuarial,"['15-2011.00', '43-9111.00']",exact,100.0
addmision manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
adjoint au chef du service developpement,"['35-1011.00', '35-2012.00']",fuzzy,100.0
adjunct faculty,['25-1122.00'],fuzzy,100.0
adjunct instructor,"['25-1011.00', '25-1021.00', '25-1022.00', '25-1031.00', '25-1032.00', '25-1041.00', '25-1042.00', '25-1051.00', '25-1052.00', '25-1061.00', '25-1065.00', '25-1066.00', '25-1067.00', '25-1071.00', '25-1072.00', '25-1081.00', '25-1111.00', '25-1112.00', '25-1121.00', '25-1122.00', '25-1123.00', '25-1124.00', '25-1125.00', '25-1126.00', '25-1192.00', '25-1193.00', '25-1194.00', '25-1199.00']",exact,100.0
adjunct professor,"['25-1022.00', '25-1031.00', '25-1032.00', '25-1051.00', '25-1053.00', '25-1054.00', '25-1062.00', '25-1063.00', '25-1065.00', '25-1066.00', '25-1067.00', '25-1111.00', '25-1112.00', '25-1121.00', '25-1122.00', '25-1123.00', '25-1126.00', '25-1192.00', '25-1193.00']",exact,100.0
administrative,"['13-1199.00', '43-3021.00', '43-3021.02', '43-4141.00', '43-6011.00', '43-6013.00', '43-6014.00']",exact,100.0
administrative affairs asistant specialist,"['13-1199.00', '43-3021.00', '43-3021.02', '43-4141.00', '43-6011.00', '43-6013.00', '43-6014.00']",fuzzy,100.0
administrative clerk,"['43-6014.00', '43-9061.00']",exact,100.0
administrative coordinator,"['11-3011.00', '43-1011.00', '43-6011.00', '43-6014.00']",exact,100.0
administrative nurse manager,"['13-1199.00', '43-3021.00', '43-3021.02', '43-4141.00', '43-6011.00', '43-6013.00', '43-6014.00']",fuzzy,100.0
administrative specialist,"['11-3011.00', '13-2081.00', '43-4031.03', '43-6011.00', '43-6014.00']",exact,100.0
administrative strategy management,"['13-1199.00', '43-3021.00', '43-3021.02', '43-4141.00', '43-6011.00', '43-6013.00', '43-6014.00']",fuzzy,100.0
administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",exact,100.0
adoption home study agent,['21-1021.00'],fuzzy,100.0
advisor customer liaison,"['13-2052.00', '19-2041.01', '21-1012.00']",fuzzy,100.0
affiliate marketing manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
affiliate program manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
agent de magasin,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
agent de maitrise,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
agent de tri de colis,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
agent trainee,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
agriculturist land owner,['19-1013.00'],fuzzy,100.0
ah 64 apache helicopter crew,"['35-1012.00', '47-1011.00', '47-1011.03', '49-1011.00', '51-1011.00', '55-3011.00']",fuzzy,100.0
air and ocean export import pricing,"['27-1026.00', '43-5081.02']",fuzzy,100.0
air export executive,['43-6011.00'],fuzzy,100.0
air export specialist key account,"['11-2011.00', '41-3011.00', '41-3021.00', '41-3031.01', '41-4012.00']",fuzzy,100.0
air exports business development,['13-1199.00'],fuzzy,100.0
aircraft recovery research,['51-9199.01'],fuzzy,100.0
airframe and powerplant mechanic,['49-3011.00'],exact,100.0
airframes mechanic,"['17-3024.00', '47-2011.00', '47-2111.00', '47-3015.00', '47-4021.00', '49-1011.00', '49-2011.00', '49-2091.00', '49-2092.00', '49-2097.00', '49-3023.01', '49-3023.02', '49-3031.00', '49-3041.00', '49-3042.00', '49-3051.00', '49-3052.00', '49-3053.00', '49-3091.00', '49-9011.00', '49-9012.00', '49-9021.01', '49-9041.00', '49-9051.00', '49-9081.00', '49-9098.00', '49-9099.00', '49-9099.01', '51-2023.00', '51-9193.00', '53-6031.00']",fuzzy,100.0
airworthiness engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
airworthiness inspector foreign airline operations,['53-6051.01'],fuzzy,100.0
alberta communications director,['27-3031.00'],fuzzy,100.0
alternante au service commande publique,"['35-9011.00', '43-2021.00', '43-9199.00']",fuzzy,100.0
ambassador,['41-9011.00'],fuzzy,100.0
amines produciton specialist capital projects support specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
analista fiscal,['43-9021.00'],fuzzy,100.0
analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",exact,100.0
analyst at accenture consulting product public services,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
analyst data science and analytics,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
analyst product costing eur,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
analyst software engineer,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
analyste financier,['11-3031.01'],fuzzy,100.0
analyste risques de credit,"['43-4041.01', '43-4041.02']",fuzzy,100.0
analytical tech industrial waste water operator,"['11-3051.03', '39-3091.00', '43-2011.00', '43-2021.00', '43-2099.00', '43-5032.00', '47-2071.00', '47-2073.00', '47-4061.00', '47-5013.00', '47-5049.00', '47-5071.00', '49-9099.01', '51-3092.00', '51-4021.00', '51-4031.00', '51-4081.00', '51-4122.00', '51-7041.00', '51-8012.00', '51-8013.00', '51-8091.00', '51-8093.00', '51-8099.01', '51-8099.03', '51-8099.04', '51-9011.00', '51-9021.00', '51-9041.00', '51-9198.00', '51-9199.00', '51-9199.01', '53-4011.00', '53-7011.00', '53-7021.00', '53-7032.00', '53-7064.00']",fuzzy,100.0
anestesiologista,"['29-1061.00', '29-1071.00', '29-1071.01']",fuzzy,93.75
annual fund manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
application developer,['15-1132.00'],exact,100.0
application development,"['11-3021.00', '15-1199.09']",fuzzy,100.0
application development analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
application development manager,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
application engineer,"['17-2141.00', '17-2199.00', '17-2199.10']",exact,100.0
application specialist for key accounts,"['13-1023.00', '41-9021.00']",fuzzy,100.0
applications analyst,"['15-1121.00', '15-1132.00', '15-1133.00', '15-1151.00', '29-2071.00']",exact,100.0
appraiser,"['13-1032.00', '13-1041.04', '13-2021.01', '13-2021.02', '13-2081.00', '41-3099.00', '41-9099.00']",exact,100.0
apprentice engineer management performance improvement planning engineering,"['47-2231.00', '47-3015.00']",fuzzy,100.0
apps developer,"['11-9021.00', '11-9141.00', '15-1132.00', '15-1133.00', '51-4062.00', '51-9151.00']",fuzzy,100.0
ar accountant,"['13-2011.00', '13-2011.01', '43-3031.00']",fuzzy,100.0
architect,"['15-1199.02', '17-1011.00']",exact,100.0
architectural engineer,['17-2051.00'],exact,100.0
architectural technician,['17-3011.01'],exact,100.0
area catering sales manager,"['11-2022.00', '41-1012.00']",fuzzy,100.0
area manager,['11-9199.00'],fuzzy,100.0
area manager accounts receivable global shared services north america,"['11-3031.02', '41-3011.00', '43-3021.02']",fuzzy,100.0
area sales manager,"['11-2022.00', '41-1012.00']",exact,100.0
area specialist community facilities,['11-3011.00'],fuzzy,100.0
area technician community programs,"['15-1151.00', '17-3023.01', '17-3029.00', '17-3029.08', '19-4011.02', '29-2052.00', '31-9096.00', '31-9099.02', '37-2021.00', '49-2097.00', '49-3023.02', '49-9081.00']",fuzzy,100.0
art direction graphic design,"['27-1025.00', '27-1027.00']",fuzzy,100.0
art director,"['27-1011.00', '27-1027.00', '43-9031.00']",exact,100.0
arts administration,"['11-9199.00', '27-1011.00']",fuzzy,91.89189189189189
arts editor and writer,"['27-3041.00', '27-3042.00', '27-4014.00', '27-4032.00', '43-9031.00', '43-9081.00']",fuzzy,100.0
as 400 programmer analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
asp manager europe,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
assessor,"['13-2021.00', '13-2021.01']",exact,100.0
asset 1 upstream data management analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
asset management executive search,['43-6011.00'],fuzzy,100.0
asset protection manager,['11-9199.08'],exact,100.0
assistante chargee de promotion au pole innovation et operations,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
assistent manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
assoc director human resources,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
assurance,['13-2011.02'],exact,100.0
auchan retail java custom solution project interface developer crm tester,"['11-9021.00', '11-9141.00', '15-1132.00', '15-1133.00', '51-4062.00', '51-9151.00']",fuzzy,100.0
audio products engineering program manager,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
audio visual specialist,"['25-9011.00', '27-3099.00', '27-4011.00']",exact,100.0
audiology joint venture partner,['29-2092.00'],fuzzy,100.0
audit,['13-2011.02'],exact,100.0
audit analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
auditor,"['13-2011.00', '13-2011.02', '13-2081.00', '51-9061.00']",exact,100.0
austin territory manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
auto tech,['49-3021.00'],fuzzy,100.0
automation engineer,"['15-1132.00', '15-1133.00', '15-1143.00', '15-1199.02', '17-2011.00', '17-2021.00', '17-2041.00', '17-2061.00', '17-2071.00', '17-2072.00', '17-2112.00', '17-2121.01', '17-2131.00', '17-2141.00', '17-2171.00', '17-2199.04', '17-2199.05', '17-2199.08']",exact,100.0
automation validation engineer,"['15-1132.00', '15-1133.00', '15-1143.00', '15-1199.02', '17-2011.00', '17-2021.00', '17-2041.00', '17-2061.00', '17-2071.00', '17-2072.00', '17-2112.00', '17-2121.01', '17-2131.00', '17-2141.00', '17-2171.00', '17-2199.04', '17-2199.05', '17-2199.08']",fuzzy,100.0
auxiliar de marketing,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
aviation electronics technician,['49-2091.00'],exact,100.0
bagger,"['47-5099.00', '51-4191.00', '51-9061.00', '51-9199.00', '53-7062.00', '53-7064.00']",exact,100.0
bank teller,['43-3071.00'],exact,100.0
banker,"['41-3031.02', '43-3071.00']",exact,100.0
banquet bartender,['35-3011.00'],exact,100.0
banquet captain event coordinator,['35-1012.00'],fuzzy,100.0
barista,['35-3022.01'],exact,100.0
barista at passenger coffee,['35-3022.01'],fuzzy,100.0
barista at prince street cafe,['35-3022.01'],fuzzy,100.0
barman,['35-3011.00'],exact,100.0
base24 eps product specialist functional,"['41-3099.00', '41-9011.00']",fuzzy,100.0
beauty advisor,"['39-5012.00', '41-2031.00']",exact,100.0
behavioral therapist,"['19-3031.02', '19-3031.03', '21-1011.00', '21-1013.00']",exact,100.0
benefits,"['11-3111.00', '13-1071.00', '13-1141.00']",fuzzy,100.0
benefits manager,['11-3111.00'],exact,100.0
benefits officer,"['21-1029.00', '21-1092.00', '33-3021.05', '33-3051.01']",fuzzy,100.0
benefits specialist,['13-1141.00'],exact,100.0
best practice manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
bid manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
billing,['43-3021.02'],exact,100.0
billing specialist,['43-3021.02'],exact,100.0
biologist,"['19-1020.01', '19-1029.00', '19-1029.02', '19-1031.01']",exact,100.0
biomedical imaging technician,"['17-2031.00', '19-4021.00']",fuzzy,100.0
biostatistician,['15-2041.01'],exact,100.0
blood collections,['43-3011.00'],fuzzy,100.0
board member and blended learning manager,['11-3131.00'],fuzzy,100.0
boatswains mate,['53-5021.02'],fuzzy,100.0
body renovation specialist,['49-3021.00'],fuzzy,100.0
bookmaker,"['11-9071.00', '39-3012.00', '51-5113.00']",exact,100.0
box office,['41-2011.00'],fuzzy,100.0
bp department manager,"['11-9071.00', '51-1011.00']",fuzzy,100.0
bp women s active department manager,"['11-9071.00', '51-1011.00']",fuzzy,100.0
branch manager,"['11-3031.02', '11-3051.00', '13-2072.00', '41-1011.00', '41-1012.00', '43-4041.02']",exact,100.0
branch manager pcs san jose,['11-9199.00'],fuzzy,100.0
branch operations manager,['47-1011.03'],exact,100.0
branch retail executive,['11-9199.00'],fuzzy,100.0
brand manager,"['11-2011.00', '11-2021.00']",exact,100.0
brand merchandising promotions coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
branded reseller business advisor,"['13-2052.00', '19-2041.01', '21-1012.00']",fuzzy,100.0
broadband technical assistance analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
brokerage,['43-4011.00'],exact,100.0
budget analyst,['13-2031.00'],exact,100.0
business,['13-1011.00'],fuzzy,100.0
business administrator,"['11-1021.00', '11-3011.00']",exact,100.0
business analyst,"['13-1111.00', '13-2011.01', '15-1121.00', '15-1199.05', '15-1199.08', '15-2031.00']",exact,100.0
business analyst power bi coach,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
business architect,"['15-1199.02', '17-1011.00']",fuzzy,100.0
business consultant,"['13-1111.00', '13-1199.04', '15-1199.00', '15-1199.08']",exact,100.0
business consultant ux design,"['13-1111.00', '13-1199.04', '15-1199.00', '15-1199.08']",fuzzy,100.0
business development,['13-1199.00'],exact,100.0
business development consultant,"['13-1111.00', '13-1199.04', '15-1199.00', '15-1199.08']",fuzzy,100.0
business development executive,"['11-1011.00', '11-2022.00']",exact,100.0
business development manager,"['11-2021.00', '11-2022.00', '11-9199.10', '11-9199.11', '41-1012.00']",exact,100.0
business development manager managed services,['13-1199.00'],fuzzy,100.0
business development representative,['41-9041.00'],exact,100.0
business engineering director,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
business engineering manager,"['11-1021.00', '11-3011.00', '11-3031.01', '13-1011.00', '43-1011.00', '43-4041.01', '43-4041.02']",fuzzy,100.0
business integration arch analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
business operation manager,"['11-1021.00', '11-3011.00', '11-3031.01', '13-1011.00', '43-1011.00', '43-4041.01', '43-4041.02']",fuzzy,100.0
business operations,"['13-1111.00', '15-2031.00']",fuzzy,100.0
business owner,['17-2199.05'],fuzzy,100.0
business partner,['23-1011.00'],fuzzy,100.0
business planning analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
business system analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
business systems analyst,"['15-1121.00', '15-1199.08']",exact,100.0
business technology analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
buyer,"['13-1021.00', '13-1022.00', '13-1023.00', '41-3099.01', '43-3061.00']",exact,100.0
cafe manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
cafeteria manager,['35-1012.00'],exact,100.0
calibration instrumentation specialist,['51-2093.00'],fuzzy,100.0
calibration technician,"['17-3023.01', '17-3024.00', '51-9061.00']",exact,100.0
call agent,"['13-1011.00', '13-1021.00', '13-2061.00', '33-3021.01', '33-3021.03', '41-1011.00', '41-3011.00', '41-4012.00', '53-4031.00']",fuzzy,100.0
call center operator,"['41-9041.00', '43-4171.00']",exact,100.0
camp counselor,['39-9032.00'],exact,100.0
campus representative,"['11-1031.00', '21-1029.00', '41-3011.00', '41-3099.00', '43-4199.00']",fuzzy,100.0
capital coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
cardiac pcu registered nurse,"['29-1141.00', '29-1141.01', '29-1141.02', '29-1141.03', '31-1014.00']",fuzzy,100.0
caregiver,"['31-1011.00', '39-9011.00', '39-9021.00']",exact,100.0
carrefour france g o l d erp implementation project architect project manager,"['15-1199.02', '17-1011.00']",fuzzy,100.0
cash application manager,['11-3031.02'],fuzzy,100.0
cashier,"['39-3091.00', '41-2011.00', '41-2012.00', '43-3071.00', '43-9199.00']",exact,100.0
cashier customer service,"['39-3091.00', '41-2011.00', '41-2012.00', '43-3071.00', '43-9199.00']",fuzzy,100.0
catalog,['25-4021.00'],fuzzy,100.0
catastrophe claim handler,"['39-2011.00', '45-2093.00', '51-9198.00', '51-9199.00', '53-7051.00']",fuzzy,100.0
catastrophe unit manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
category manager,['13-1022.00'],exact,100.0
caterer,"['35-1012.00', '35-2015.00', '35-2021.00']",exact,100.0
catering manager,['11-9051.00'],exact,100.0
catering sales events manager,"['35-2021.00', '35-3021.00']",fuzzy,100.0
catering sales manager,['41-1012.00'],exact,100.0
catering supervisor,"['35-2021.00', '35-3021.00']",fuzzy,100.0
cdc orise bioinformatics fellow,"['19-1029.01', '43-9111.01']",fuzzy,100.0
cdp loan processor,['43-9061.00'],fuzzy,100.0
cell guard,"['33-1011.00', '33-1099.00', '33-3012.00', '33-9091.00']",fuzzy,100.0
cell guard security guard,"['33-1011.00', '33-1099.00', '33-3012.00', '33-9091.00']",fuzzy,100.0
central operations manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
central supervison analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
centralized operations support,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
ceo,['11-1011.00'],exact,100.0
certification project administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0
certified athletic trainer,['29-9091.00'],exact,100.0
certified credit coach,"['21-1015.00', '27-2022.00']",fuzzy,100.0
certified instructor and trainer facilitator local coordinator and ex mooc project manager,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
certified personal trainer,['39-9031.00'],exact,100.0
certified pharmacy technician,['29-2052.00'],exact,100.0
certified pro facilitator,"['23-1022.00', '51-1011.00']",fuzzy,100.0
certified surgical technologist,['29-2055.00'],exact,100.0
chair and professor department of geosciences,"['11-9071.00', '51-1011.00']",fuzzy,100.0
chairman,['11-1011.00'],exact,100.0
change control administrator,"['11-3011.00', '11-3061.00', '11-9031.00', '13-1023.00', '43-3021.02']",fuzzy,100.0
channel development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
channel development manager,"['11-2021.00', '11-2022.00']",fuzzy,100.0
channel management analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
channel management coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
chef,"['35-1011.00', '35-2012.00']",exact,100.0
chef d equipe,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef de projet amelioration continue,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef de projet deploiement reseau gsm,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef de projet optimisation reseau,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef de projet sav echange express,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef de secteur,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef du departement hydraulique fluviale,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef du service amenagement et environnement,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chef du service maitrise d ouvrage,"['35-1011.00', '35-2012.00']",fuzzy,100.0
chemical engineer,['17-2041.00'],exact,100.0
chemical engineer chemist,['17-2041.00'],fuzzy,100.0
chemist,"['19-2031.00', '19-4031.00']",exact,100.0
chemistry grader,"['25-9041.00', '45-2041.00', '47-2061.00', '47-2073.00', '51-9061.00', '51-9071.06']",fuzzy,100.0
chemistry tutor,['25-3099.02'],exact,100.0
child protective investigator,['21-1093.00'],exact,100.0
childcare leader,['51-1011.00'],fuzzy,100.0
childcare provider,['39-9011.00'],exact,100.0
choreographer,['27-2032.00'],exact,100.0
ciav intel analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
cinema manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
civil aviation safety inspector aviation occurrence response analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
